id:ID,labels:LABEL,properties:JSON
"security.accountabilityrequirement",SpecNode;SpecNode_security,"{""spec_node_id"":""security.accountabilityrequirement"",""layer_id"":""security"",""type"":""accountabilityrequirement"",""title"":""AccountabilityRequirement"",""description"":""Expresses who is obligated to provide evidence that a specific action occurred and under what conditions that evidence can be challenged. Distinct from AuditConfig, which defines what events are captured — this node defines the obligation to prove an action took place. Implements NIST SP 800-53 AU-10 non-repudiation."",""required_attribute_count"":5,""total_attribute_count"":5}"
"security.actor",SpecNode;SpecNode_security,"{""spec_node_id"":""security.actor"",""layer_id"":""security"",""type"":""actor"",""title"":""Actor"",""description"":""A named principal — human user, service account, automated system, or external entity — whose identity and trust level govern what operations it may perform. Associates with Roles for permission grouping and with SeparationOfDuty and Delegation controls, per NIST SP 800-53 AC-2 (Account Management) and SP 800-207 (Zero Trust Architecture)."",""required_attribute_count"":1,""total_attribute_count"":5}"
"security.auditconfig",SpecNode;SpecNode_security,"{""spec_node_id"":""security.auditconfig"",""layer_id"":""security"",""type"":""auditconfig"",""title"":""AuditConfig"",""description"":""Configuration for security audit logging, specifying what events to capture, retention periods, storage destinations, and compliance requirements. Enables security monitoring and forensic analysis."",""required_attribute_count"":2,""total_attribute_count"":6}"
"security.authenticationconfig",SpecNode;SpecNode_security,"{""spec_node_id"":""security.authenticationconfig"",""layer_id"":""security"",""type"":""authenticationconfig"",""title"":""AuthenticationConfig"",""description"":""Specifies how principals are verified before accessing protected resources, including the identity provider, multi-factor requirements, session lifetime, and credential policy references. Scoped per application or service. Maps to NIST SP 800-53 IA-2, IA-5, and IA-11."",""required_attribute_count"":2,""total_attribute_count"":6}"
"security.bindingofduty",SpecNode;SpecNode_security,"{""spec_node_id"":""security.bindingofduty"",""layer_id"":""security"",""type"":""bindingofduty"",""title"":""BindingOfDuty"",""description"":""Obligation control requiring that a single actor who initiates a task must also complete it, preventing task hijacking or inconsistent workflow state that could be exploited by a different actor. Complements SeparationOfDuty by enforcing task continuity rather than task segregation. Anchored to NIST SP 800-53 CM-5 (Access Restrictions for Change) and workflow integrity controls."",""required_attribute_count"":1,""total_attribute_count"":3}"
"security.condition",SpecNode;SpecNode_security,"{""spec_node_id"":""security.condition"",""layer_id"":""security"",""type"":""condition"",""title"":""Condition"",""description"":""A reusable logical expression evaluated against request context (time, location, user attributes, resource state) to determine when a SecurityPolicy rule applies. Distinct from AccessCondition, which is a concrete field+operator+value predicate composed inside a PolicyRule condition chain."",""required_attribute_count"":1,""total_attribute_count"":5}"
"security.countermeasure",SpecNode;SpecNode_security,"{""spec_node_id"":""security.countermeasure"",""layer_id"":""security"",""type"":""countermeasure"",""title"":""Countermeasure"",""description"":""A security control or mitigation technique that reduces the likelihood or impact of a specific threat. Maps to NIST SP 800-53 controls by type (technical, operational, management) and tracks implementation status and residual risk."",""required_attribute_count"":1,""total_attribute_count"":5}"
"security.dataclassification",SpecNode;SpecNode_security,"{""spec_node_id"":""security.dataclassification"",""layer_id"":""security"",""type"":""dataclassification"",""title"":""DataClassification"",""description"":""Data classification and protection policies"",""required_attribute_count"":0,""total_attribute_count"":3}"
"security.delegation",SpecNode;SpecNode_security,"{""spec_node_id"":""security.delegation"",""layer_id"":""security"",""type"":""delegation"",""title"":""Delegation"",""description"":""Explicit transfer of permissions or authority from a delegator to a delegatee, subject to scope constraints and optional time bounds. Supports least-privilege enforcement (NIST AC-6) by enabling time-limited privilege elevation rather than permanent role assignment."",""required_attribute_count"":3,""total_attribute_count"":5}"
"security.evidence",SpecNode;SpecNode_security,"{""spec_node_id"":""security.evidence"",""layer_id"":""security"",""type"":""evidence"",""title"":""Evidence"",""description"":""An artifact that provides verifiable proof of an action or event for non-repudiation and audit purposes. Anchored to NIST SP 800-53 AU-10 (Non-repudiation), evidence types range from cryptographic signatures to plain audit log entries, with strength characterizing the assurance level per NIST SP 800-63-3."",""required_attribute_count"":2,""total_attribute_count"":3}"
"security.fieldaccesscontrol",SpecNode;SpecNode_security,"{""spec_node_id"":""security.fieldaccesscontrol"",""layer_id"":""security"",""type"":""fieldaccesscontrol"",""title"":""FieldAccessControl"",""description"":""Defines access restrictions and transformation rules for a specific data field, controlling how sensitive values are masked or redacted when exposed to unauthorized principals. Used within SecureResource fieldAccess to enforce field-level data protection per NIST SP 800-53 AC-3 and SC-28."",""required_attribute_count"":1,""total_attribute_count"":3}"
"security.informationentity",SpecNode;SpecNode_security,"{""spec_node_id"":""security.informationentity"",""layer_id"":""security"",""type"":""informationentity"",""title"":""InformationEntity"",""description"":""Named information asset subject to fine-grained access rights and data classification. Represents a logical grouping of data (e.g., customer PII, financial records) whose access is governed by associated InformationRight grants and AccountabilityRequirements, per NIST SP 800-53 AC-3 and IP-1."",""required_attribute_count"":1,""total_attribute_count"":3}"
"security.informationright",SpecNode;SpecNode_security,"{""spec_node_id"":""security.informationright"",""layer_id"":""security"",""type"":""informationright"",""title"":""InformationRight"",""description"":""A granular access grant specifying which operations a named actor may perform on an InformationEntity, subject to a qualifying constraint expression. Implements attribute-based access control (ABAC) at the information asset level, per NIST SP 800-162 (ABAC Guide) and NIST SP 800-53 AC-3(14)."",""required_attribute_count"":2,""total_attribute_count"":3}"
"security.needtoknow",SpecNode;SpecNode_security,"{""spec_node_id"":""security.needtoknow"",""layer_id"":""security"",""type"":""needtoknow"",""title"":""NeedToKnow"",""description"":""Restricts access to a resource to only those actors whose stated purpose requires it, implementing the NIST SP 800-53 AC-3(3) mandatory access control principle. JustificationRequired enforces that actors must declare their purpose before access is granted."",""required_attribute_count"":4,""total_attribute_count"":4}"
"security.passwordpolicy",SpecNode;SpecNode_security,"{""spec_node_id"":""security.passwordpolicy"",""layer_id"":""security"",""type"":""passwordpolicy"",""title"":""PasswordPolicy"",""description"":""Defines password complexity, rotation, and lockout requirements for credential-based authentication. Implements NIST SP 800-53 IA-5(1) controls including minimum length, character class requirements, history enforcement, and brute-force lockout thresholds."",""required_attribute_count"":1,""total_attribute_count"":10}"
"security.permission",SpecNode;SpecNode_security,"{""spec_node_id"":""security.permission"",""layer_id"":""security"",""type"":""permission"",""title"":""Permission"",""description"":""An atomic grant authorizing a specific action (e.g., read, write, execute) on a resource within a defined scope. Permissions are assigned to Roles and enforced by SecureResource access control lists. Implements NIST SP 800-53 AC-3 access enforcement and AC-6 least privilege."",""required_attribute_count"":3,""total_attribute_count"":4}"
"security.policyaction",SpecNode;SpecNode_security,"{""spec_node_id"":""security.policyaction"",""layer_id"":""security"",""type"":""policyaction"",""title"":""PolicyAction"",""description"":""The enforcement action executed when a SecurityPolicy rule condition is met. Defines the system response to a policy match (allow, deny, remediation, notification), ensuring consistent policy enforcement across the security model per NIST SP 800-53 CA-9 (Internal System Connections) and SI-3 (Malicious Code Protection)."",""required_attribute_count"":2,""total_attribute_count"":3}"
"security.policyrule",SpecNode;SpecNode_security,"{""spec_node_id"":""security.policyrule"",""layer_id"":""security"",""type"":""policyrule"",""title"":""PolicyRule"",""description"":""An atomic policy evaluation unit consisting of a condition predicate and an enforcement effect (PERMIT or DENY), with optional obligation actions executed upon match. Multiple PolicyRules compose a SecurityPolicy evaluated in priority order."",""required_attribute_count"":2,""total_attribute_count"":4}"
"security.resourceoperation",SpecNode;SpecNode_security,"{""spec_node_id"":""security.resourceoperation"",""layer_id"":""security"",""type"":""resourceoperation"",""title"":""ResourceOperation"",""description"":""A permitted operation that an actor may perform on a secured resource, forming the verb component of a subject-verb-object access control policy. Bound to AccessConditions, RateLimits, and AuditConfig nodes via the security policy model, per NIST SP 800-53 AC-3 (Access Enforcement)."",""required_attribute_count"":1,""total_attribute_count"":5}"
"security.retentionpolicy",SpecNode;SpecNode_security,"{""spec_node_id"":""security.retentionpolicy"",""layer_id"":""security"",""type"":""retentionpolicy"",""title"":""RetentionPolicy"",""description"":""Defines how long security-related data (audit logs, access records, encryption keys) must be retained, archival strategies, and secure deletion procedures. Ensures compliance with regulatory requirements."",""required_attribute_count"":1,""total_attribute_count"":4}"
"security.role",SpecNode;SpecNode_security,"{""spec_node_id"":""security.role"",""layer_id"":""security"",""type"":""role"",""title"":""Role"",""description"":""A named collection of Permissions implementing RBAC per NIST SP 800-53 AC-2 and AC-6. Roles can inherit from parent roles (role hierarchy), accumulating permissions transitively. The level attribute defines the role privilege tier for least-privilege enforcement."",""required_attribute_count"":3,""total_attribute_count"":4}"
"security.secureresource",SpecNode;SpecNode_security,"{""spec_node_id"":""security.secureresource"",""layer_id"":""security"",""type"":""secureresource"",""title"":""SecureResource"",""description"":""Represents a named resource subject to security controls, defining the operations that can be performed on it and optional field-level access restrictions. Acts as the resource component in subject-action-resource access control triples per NIST SP 800-53 AC-3."",""required_attribute_count"":2,""total_attribute_count"":3}"
